"subjects"	"activities"	"avg_tBody_Acc_X"	"avg_tBody_Acc_Y"	"avg_tBody_Acc_Z"
"1"	1	"LAYING"	0.22159824394	0.22159824394	-0.11320355358
"2"	1	"SITTING"	0.261237565425532	0.261237565425532	-0.104544182255319
"3"	1	"STANDING"	0.278917629056604	0.278917629056604	-0.110601817735849
"4"	1	"WALKING"	0.277330758736842	0.277330758736842	-0.111148103547368
"5"	1	"WALKING_DOWNSTAIRS"	0.289188320408163	0.289188320408163	-0.107566190908163
"6"	1	"WALKING_UPSTAIRS"	0.255461689622641	0.255461689622641	-0.0973020020943396
"7"	2	"LAYING"	0.281373403958333	0.281373403958333	-0.107245610416667
"8"	2	"SITTING"	0.27708735173913	0.27708735173913	-0.109218272456522
"9"	2	"STANDING"	0.277911472222222	0.277911472222222	-0.105908536055556
"10"	2	"WALKING"	0.276426586440678	0.276426586440678	-0.105500357966102
"11"	2	"WALKING_DOWNSTAIRS"	0.27761534806383	0.27761534806383	-0.116812942382979
"12"	2	"WALKING_UPSTAIRS"	0.247164790395833	0.247164790395833	-0.152513899520833
"13"	3	"LAYING"	0.275516852741936	0.275516852741936	-0.101300477506452
"14"	3	"SITTING"	0.257197599134615	0.257197599134615	-0.0983579203269231
"15"	3	"STANDING"	0.280046513278688	0.280046513278688	-0.101621722633148
"16"	3	"WALKING"	0.275567462068966	0.275567462068966	-0.112674859827586
"17"	3	"WALKING_DOWNSTAIRS"	0.292423484693878	0.292423484693878	-0.116139842908163
"18"	3	"WALKING_UPSTAIRS"	0.260819873067797	0.260819873067797	-0.110064863437288
"19"	4	"LAYING"	0.263559214981481	0.263559214981481	-0.110688150314815
"20"	4	"SITTING"	0.27153827992	0.27153827992	-0.10587459588
"21"	4	"STANDING"	0.280499745892857	0.280499745892857	-0.0961574905535714
"22"	4	"WALKING"	0.278582015166667	0.278582015166667	-0.11140306485
"23"	4	"WALKING_DOWNSTAIRS"	0.279965329555556	0.279965329555556	-0.1067775246
"24"	4	"WALKING_UPSTAIRS"	0.270876696730769	0.270876696730769	-0.114219455519231
"25"	5	"LAYING"	0.278334325576923	0.278334325576923	-0.107937603673077
"26"	5	"SITTING"	0.273694139545455	0.273694139545455	-0.108540300265909
"27"	5	"STANDING"	0.282544390892857	0.282544390892857	-0.102171095696429
"28"	5	"WALKING"	0.27784234625	0.27784234625	-0.107741776464286
"29"	5	"WALKING_DOWNSTAIRS"	0.29354392712766	0.29354392712766	-0.100319930659574
"30"	5	"WALKING_UPSTAIRS"	0.268459469914894	0.268459469914894	-0.107471453914894
"31"	6	"LAYING"	0.248656520140351	0.248656520140351	-0.133119570368421
"32"	6	"SITTING"	0.276778487454545	0.276778487454545	-0.110127728709091
"33"	6	"STANDING"	0.280346248596491	0.280346248596491	-0.112172831947368
"34"	6	"WALKING"	0.283658868070175	0.283658868070175	-0.110303165877193
"35"	6	"WALKING_DOWNSTAIRS"	0.277045258145833	0.277045258145833	-0.107209356208333
"36"	6	"WALKING_UPSTAIRS"	0.268229355098039	0.268229355098039	-0.122082438784314
"37"	7	"LAYING"	0.250176694038462	0.250176694038462	-0.101361036576923
"38"	7	"SITTING"	0.284674637291667	0.284674637291667	-0.122464597625
"39"	7	"STANDING"	0.282723539433962	0.282723539433962	-0.0997778303207547
"40"	7	"WALKING"	0.275592961754386	0.275592961754386	-0.110912234947368
"41"	7	"WALKING_DOWNSTAIRS"	0.28030708	0.28030708	-0.0969383085872341
"42"	7	"WALKING_UPSTAIRS"	0.248706923078431	0.248706923078431	-0.143769688803922
"43"	8	"LAYING"	0.261254282907407	0.261254282907407	-0.102245365611111
"44"	8	"SITTING"	0.267491472934783	0.267491472934783	-0.104461049130435
"45"	8	"STANDING"	0.279620986111111	0.279620986111111	-0.106114996837037
"46"	8	"WALKING"	0.27468631	0.27468631	-0.107252090833333
"47"	8	"WALKING_DOWNSTAIRS"	0.283484089210526	0.283484089210526	-0.107598135394737
"48"	8	"WALKING_UPSTAIRS"	0.258880152048781	0.258880152048781	-0.11512211995122
"49"	9	"LAYING"	0.2591955368	0.2591955368	-0.10754972144
"50"	9	"SITTING"	0.24832674354	0.24832674354	-0.07537846886
"51"	9	"STANDING"	0.282310057333333	0.282310057333333	-0.0952747481333333
"52"	9	"WALKING"	0.278502842115385	0.278502842115385	-0.110820512307692
"53"	9	"WALKING_DOWNSTAIRS"	0.295923445	0.295923445	-0.0910278793952381
"54"	9	"WALKING_UPSTAIRS"	0.262436475714286	0.262436475714286	-0.125219003959184
"55"	10	"LAYING"	0.280230574137931	0.280230574137931	-0.117168642362069
"56"	10	"SITTING"	0.270612056481481	0.270612056481481	-0.104253238796296
"57"	10	"STANDING"	0.276650300681818	0.276650300681818	-0.107964083931818
